2n1c1m;2n1c2m;2n1c3m;2n2c1m;2n2c3m;2n2c5m;4n1c1m;4n1c4m;4n1c6m;4n2c2m;4n2c6m;4n2c10m;4n3c2m;4n3c8m;4n3c13m;4n4c3m;4n4c10m;4n4c16m;5n1c1m;5n1c5m;5n1c8m;5n2c2m;5n2c8m;5n2c12m;5n3c3m;5n3c10m;5n3c16m;5n4c3m;5n4c13m;5n4c20m;5n5c4m;5n5c15m;5n5c24m;6n1c2m;6n1c6m;6n1c10m;6n2c2m;6n2c9m;6n2c15m;6n3c3m;6n3c12m;6n3c20m;6n4c4m;6n4c15m;6n4c24m;6n5c5m;6n5c18m;6n5c29m;6n6c6m;6n6c21m;6n6c34m;3n1c1m;3n1c3m;3n1c5m;3n2c1m;3n2c5m;3n2c7m;3n3c2m;3n3c6m;3n3c10m
37348;54178;57422;36442;113784;39648;18362;74034;53130;39616;96178;47528;36172;123168;95838;59298;122168;138812;15406;46398;17294;29052;90614;68506;43358;102732;70860;43616;110770;95122;58112;108930;117610;32498;33504;27850;24544;76816;53174;36902;90064;54868;48856;96968;73654;62868;82068;77056;86444;40912;106530;24762;61622;46216;24952;94578;89314;53494;116024;101982
38900;54886;62986;37502;112266;40714;18114;69214;54052;36478;107702;70644;36472;158334;98732;58176;173472;144972;15406;46402;17294;29054;90610;68498;43358;102738;70860;43614;110774;95114;58112;108922;117620;32494;33500;27850;24544;76820;53172;36896;90058;54868;48854;96970;73654;62868;82056;77056;86444;40912;106530;24762;61616;46216;24954;94572;89314;53492;116024;101980
38900;54884;62986;37500;112266;40696;18114;69210;54046;36478;107708;70644;36472;158342;98726;58180;173480;144964;15406;46400;17294;29054;90614;68672;43358;102732;70866;43614;110774;95114;58112;108918;117620;32490;33500;27950;24544;76818;53138;36896;90058;54868;48854;96980;73646;62868;82056;77056;86444;40912;106522;24760;61618;46214;24952;94574;89306;53492;116022;101980
44216;54374;67666;37630;115066;43826;18114;69206;54044;36474;107708;70640;36470;158344;98726;58176;173488;144972;15404;46400;17294;29054;90614;68676;43354;102724;70868;43618;110782;95114;58112;108928;117898;32044;35694;27642;24360;66844;41752;36390;116040;59764;48934;72108;69122;61172;58300;87910;74156;44700;63918;24572;61754;50512;24740;92922;93646;50406;116714;107802
44216;54372;67664;37632;115068;43826;18112;69208;54040;36476;107702;70640;36470;158342;98722;58176;173480;144964;14652;55256;33178;29094;84924;64684;44114;102088;69744;44070;114274;102732;58564;117168;119470;32044;35690;27642;24362;66840;41754;36394;116034;59764;48934;72118;69122;61180;58300;87920;74170;44708;63906;24570;61756;50512;24740;92926;93642;50408;116720;107790
37174;54078;72312;36366;112776;40996;19186;68616;50000;36314;104924;72236;36182;141978;106580;59038;154268;136614;14652;55256;33178;29104;84928;64682;44114;102094;69744;44070;114274;102712;58570;117170;119470;32044;35690;27642;24362;66838;41754;36396;116026;59766;48934;72128;69122;61180;58290;87920;74158;44718;63902;24572;61754;50512;24740;92922;93642;50410;116714;107782
37174;54080;72312;36366;112766;40998;19186;68620;50000;36314;104918;72236;36184;141978;106584;59038;154274;136614;14652;55258;33178;29108;84924;64686;44114;102094;69744;44064;114274;102700;58566;117180;119470;32044;35694;27642;24362;66836;41754;36396;116026;59766;48940;72122;69122;61180;58280;87924;74158;44726;63902;24798;63180;48128;25012;93492;87386;49908;119906;100922
36824;54506;64258;38612;115976;41386;19186;68618;50002;36310;104912;72236;36184;141970;106578;59042;154264;136610;14654;55258;33180;29112;84922;64686;44114;102096;69744;44068;114274;102700;58572;117176;119480;32044;35700;27642;24362;66844;41756;36396;116030;59766;48942;72112;69122;61180;58288;87644;74158;44712;63914;24800;63178;48126;25014;93488;87376;49906;119880;100924
36826;54502;64256;38610;115982;41384;19188;68616;50000;36312;104918;72232;36184;141970;106578;59038;154272;136606;14654;55258;33180;29112;84918;64688;44112;102094;69742;44070;114274;102690;58572;117174;119470;32042;35698;27640;24362;66844;41756;36396;116034;59766;48942;72102;69120;61182;58290;87642;74158;44700;63918;24800;63178;48124;25014;93488;87372;49908;119840;100922
39518;55108;59394;37730;114210;38522;18270;65608;58868;36506;114592;67094;38444;145222;91636;58004;169020;143694;14718;53324;25562;29614;78982;65420;43742;89470;70160;43612;91820;81540;58420;142974;121228;30842;21876;27470;24430;83680;48276;36554;119016;71556;48752;97022;80304;60778;86690;82230;73144;67932;88718;24526;60956;48552;26022;91852;92830;49562;113236;109180
